N,P,K,temperature,humidity,ph,rainfall,label
92,19,111,35.933246809492374,65.35005853601393,6.3533296182629835,48.1130215805684,mungbean
87,121,104,13.77176526368354,69.9811421317167,3.8610341057734416,221.16005844463064,banana
129,25,165,19.387630054991913,59.17162619088279,6.264448119309542,101.31994680309525,mothbeans
14,55,112,26.695358456793684,64.96992855147704,3.7972826414079854,189.31897779898017,pomegranate
72,22,136,41.58862109783287,62.47380026936271,5.966665616255463,24.74181136766359,jute
83,96,115,32.577570455125944,66.4767135719706,8.832447435111451,68.5300466058622,maize
49,108,136,19.6475454479115,58.769829414938386,6.998945787796989,71.72650952720161,orange
43,18,99,40.881223378804464,21.7838074258495,4.7542903194825294,32.88223177491169,papaya
81,115,57,29.218940565101917,96.92237983253663,7.385019185194782,97.08297243867156,blackgram
44,69,93,43.143665393698,80.38137672872355,4.771780361818704,21.83625298378619,muskmelon
80,140,167,36.29810881048596,66.13076983873268,9.428325622485435,201.42962849464095,banana
71,16,166,12.120272053866314,45.97912421339143,7.780584017047087,205.55959961098756,mungbean
103,39,197,22.125855241431886,97.47572657484619,8.933048475302936,221.08515278806772,mango
102,31,141,33.531068561065396,23.703343343573945,6.311753611940929,76.41828208970722,watermelon
51,100,136,40.38331329262803,35.56434403805858,6.126450707428031,230.49432674267615,mungbean
12,75,191,32.978515669781714,89.65609380360759,7.4958659080562775,102.54529140005202,kidneybeans
133,32,32,16.401727215145808,49.89490253249039,9.152993657080756,110.53278484366722,jute
128,125,31,23.663351044193718,84.30386543955767,9.008675732840597,22.234082713777255,mungbean
136,66,169,32.896773944581405,37.28863700653329,5.062403342385755,67.11856793250928,blackgram
112,66,190,42.293165863985465,35.777742752233706,6.682390437711267,104.00434579102532,lentil
80,117,6,26.29323000836438,18.611728982124088,5.283337371114313,272.97956947592303,orange
125,134,57,25.832956057659192,98.67024391727848,5.049153737673603,207.2881092883154,coconut
122,42,28,25.166462078722137,98.47936317468805,6.05247643164514,247.4313471296326,banana
96,128,191,15.290844161914928,17.694429631243267,7.281714836404747,208.79840546452297,apple
89,100,203,14.867951729373702,73.41336415538133,5.975106216323439,280.89828286655955,coconut
10,46,103,16.75354075854603,29.193637252121732,9.785877397308388,164.0281049515962,rice
1,133,52,42.39659342485001,62.04574897412826,9.148872596411774,72.79831754057174,orange
98,52,135,38.600085357357614,48.8663464943717,9.181728632070143,257.02829444712205,lentil
103,88,116,12.331209691737918,71.06210161256038,3.5323941366157996,65.03679990434813,orange
53,72,37,25.987501288383523,29.52510618026788,5.845400221330303,227.32823951433562,papaya
